Subj ID,Session,Run,Target,TR Condition,Word Class,Accuracy,RT,WordFreq,WordFreq,,RT-Rev,Actual response
TPL,1,1,(pass),(control),(control),NA,1.302125,NA,NA,,1.302125,
TPL,1,1,(pass),(control),(control),NA,1.38245,NA,NA,,1.38245,
TPL,1,1,(pass),(control),(control),NA,1.401169,NA,NA,,1.401169,
TPL,1,1,pinching,TR,ACT,1,1.410015,57,11,,1.410015,
TPL,1,1,stroking,TR,ACT,1,1.35686,37,5,,1.35686,
TPL,1,1,pointing,TR,ACT,1,1.262634,425,143,,1.262634,
TPL,1,1,folding,TR,ACT,1,1.137604,106,20,,1.137604,
TPL,1,1,reading,TR,ACT,1,1.31034,3133,274,,1.31034,
TPL,1,1,Mitten,TR,OBJ,1,1.339721,23,0,,1.339721,
TPL,1,1,Broom,TR,OBJ,1,1.214692,243,2,,1.214692,
TPL,1,1,Barrel,TR,OBJ,1,1.00752,542,24,,1.00752,
TPL,1,1,Thimble,TR,OBJ,1,1.108381,14,1,,1.108381,
TPL,1,1,Harp,TR,OBJ,1,1.034691,134,1,,1.034691,
TPL,1,1,begging,UNTR,ACT,1,1.639066,766,34,,1.639066,
TPL,1,1,tickling,UNTR,ACT,1,1.534572,51,2,,1.534572,
TPL,1,1,pulling,UNTR,ACT,1,1.358204,1384,145,,1.358204,
TPL,1,1,waving,UNTR,ACT,1,1.192104,266,30,,1.192104,
TPL,1,1,opening,UNTR,ACT,1,1.72421,1960,259,,1.72421,
TPL,1,1,(pass),(control),(control),NA,1.527701,NA,NA,,1.527701,
TPL,1,1,(pass),(control),(control),NA,1.022765,NA,NA,,1.022765,
TPL,1,1,(pass),(control),(control),NA,0.928539,NA,NA,,0.928539,
TPL,1,1,(pass),(control),(control),NA,0.885651,NA,NA,,0.885651,
TPL,1,1,(pass),(control),(control),NA,1.048119,NA,NA,,1.048119,
TPL,1,1,Key,CORR,OBJ,1,1.252052,4430,88,,1.252052,
TPL,1,1,Foot,CORR,OBJ,1,1.558268,3311,70,,1.558268,
TPL,1,1,Glass,CORR,OBJ,1,1.176545,3096,99,,1.176545,
TPL,1,1,Arm,CORR,OBJ,1,1.544368,3336,94,,1.544368,
TPL,1,1,Thumb,CORR,OBJ,1,1.244786,603,10,,1.244786,
TPL,1,1,crying,CORR,ACT,0,1.304971,2709,64,,NA,sad
TPL,1,1,sitting,CORR,ACT,1,1.50851,4814,314,,1.50851,
TPL,1,1,washing,CORR,ACT,1,1.404016,462,83,,1.404016,
TPL,1,1,laughing,CORR,ACT,1,1.12497,2667,89,,1.12497,
TPL,1,1,raining,CORR,ACT,1,1.472257,499,14,,1.472257,
TPL,1,1,Necklace,UNTR,OBJ,1,1.296284,497,3,,1.296284,
TPL,1,1,Stool,UNTR,OBJ,1,0.945364,179,8,,0.945364,
TPL,1,1,Well,UNTR,OBJ,1,2.175677,95,897,,2.175677,
TPL,1,1,Clothespin,UNTR,OBJ,1,1.167621,15,0,,1.167621,
TPL,1,1,Flute,UNTR,OBJ,0,2.274722,108,1,,NA,clarinet
TPL,1,1,(pass),(control),(control),NA,1.338935,NA,NA,,1.338935,
TPL,1,1,(pass),(control),(control),NA,0.803195,NA,NA,,0.803195,
TPL,1,1,(pass),(control),(control),NA,0.986198,NA,NA,,0.986198,
TPL,1,1,(pass),(control),(control),NA,0.99465,NA,NA,,0.99465,
TPL,1,1,(pass),(control),(control),NA,0.828549,NA,NA,,0.828549,
TPL,1,1,smiling,CORR,ACT,1,1.812832,877,122,,1.812832,
TPL,1,1,eating,CORR,ACT,1,1.153879,3102,122,,1.153879,
TPL,1,1,typing,CORR,ACT,1,1.16233,165,12,,1.16233,
TPL,1,1,drinking,CORR,ACT,1,1.078372,2685,93,,1.078372,
TPL,1,1,yawning,CORR,ACT,1,1.343517,48,3,,1.343517,
TPL,1,1,Car,CORR,OBJ,1,1.177811,24636,274,,1.177811,
